title,pageid_url_slug,revision_id,prose_word_count,url,source,date_fetched
1978 Valley City State Vikings football team,1978_Valley_City_State_Vikings_football_team,1361759222,328,https://en.wikipedia.org/wiki/1978_Valley_City_State_Vikings_football_team?oldid=1361759222,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:08
APEC South Korea 2025,APEC_South_Korea_2025,1358752215,1854,https://en.wikipedia.org/wiki/APEC_South_Korea_2025?oldid=1358752215,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:08
Ahmed Metani,Ahmed_Metani,1354279046,345,https://en.wikipedia.org/wiki/Ahmed_Metani?oldid=1354279046,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:09
Alexia Hilbertidou,Alexia_Hilbertidou,1335723061,1529,https://en.wikipedia.org/wiki/Alexia_Hilbertidou?oldid=1335723061,Category:Articles containing suspected AI-generated texts from November 2025,2026-07-23 00:22:09
Alice Wu,Alice_Wu,1361951382,2208,https://en.wikipedia.org/wiki/Alice_Wu?oldid=1361951382,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:10
All India Council for Technical Education,All_India_Council_for_Technical_Education,1358984560,836,https://en.wikipedia.org/wiki/All_India_Council_for_Technical_Education?oldid=1358984560,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:10
Amirreza Abdullahi,Amirreza_Abdullahi,1351197750,312,https://en.wikipedia.org/wiki/Amirreza_Abdullahi?oldid=1351197750,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:10
Analyst relations,Analyst_relations,1351943328,1832,https://en.wikipedia.org/wiki/Analyst_relations?oldid=1351943328,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:11
Anti-North Indian sentiment,Anti-North_Indian_sentiment,1364617658,1949,https://en.wikipedia.org/wiki/Anti-North_Indian_sentiment?oldid=1364617658,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:12
Anti-ligature fixture,Anti-ligature_fixture,1296404441,414,https://en.wikipedia.org/wiki/Anti-ligature_fixture?oldid=1296404441,Category:Articles containing suspected AI-generated texts from May 2025,2026-07-23 00:22:12
Apache Cassandra,Apache_Cassandra,1344024191,1190,https://en.wikipedia.org/wiki/Apache_Cassandra?oldid=1344024191,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:13
Bamboo diplomacy (Vietnam),Bamboo_diplomacy_(Vietnam),1356032578,1332,https://en.wikipedia.org/wiki/Bamboo_diplomacy_(Vietnam)?oldid=1356032578,Category:Articles containing suspected AI-generated texts from February 2026,2026-07-23 00:22:13
Bangladesh–Malta relations,Bangladesh–Malta_relations,1365451769,428,https://en.wikipedia.org/wiki/Bangladesh–Malta_relations?oldid=1365451769,Category:Articles containing suspected AI-generated texts from February 2026,2026-07-23 00:22:14
Banki Mongra,Banki_Mongra,1362754752,406,https://en.wikipedia.org/wiki/Banki_Mongra?oldid=1362754752,Category:Articles containing suspected AI-generated texts from April 2026,2026-07-23 00:22:14
Basantar River,Basantar_River,1360525077,416,https://en.wikipedia.org/wiki/Basantar_River?oldid=1360525077,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:14
Bausch & Lomb,Bausch_&_Lomb,1356600815,1988,https://en.wikipedia.org/wiki/Bausch_&_Lomb?oldid=1356600815,Category:Articles containing suspected AI-generated texts from May 2026,2026-07-23 00:22:15
Begusarai,Begusarai,1355530164,2511,https://en.wikipedia.org/wiki/Begusarai?oldid=1355530164,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:16
Bokkos,Bokkos,1362214751,535,https://en.wikipedia.org/wiki/Bokkos?oldid=1362214751,Category:Articles containing suspected AI-generated texts from October 2025,2026-07-23 00:22:16
By Whatever Means Necessary: The Times of Godfather of Harlem,By_Whatever_Means_Necessary:_The_Times_of_Godfather_of_Harlem,1362687684,244,https://en.wikipedia.org/wiki/By_Whatever_Means_Necessary:_The_Times_of_Godfather_of_Harlem?oldid=1362687684,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:17
Ceviche,Ceviche,1364127418,2643,https://en.wikipedia.org/wiki/Ceviche?oldid=1364127418,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:18
Chiang Muan district,Chiang_Muan_district,1347406098,436,https://en.wikipedia.org/wiki/Chiang_Muan_district?oldid=1347406098,Category:Articles containing suspected AI-generated texts from August 2025,2026-07-23 00:22:18
"Clarksburg, West Virginia","Clarksburg,_West_Virginia",1360983072,3286,"https://en.wikipedia.org/wiki/Clarksburg,_West_Virginia?oldid=1360983072",Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:19
Constance Goddard DuBois,Constance_Goddard_DuBois,1326415918,613,https://en.wikipedia.org/wiki/Constance_Goddard_DuBois?oldid=1326415918,Category:Articles containing suspected AI-generated texts from December 2025,2026-07-23 00:22:19
Dei BioPharma,Dei_BioPharma,1360802053,407,https://en.wikipedia.org/wiki/Dei_BioPharma?oldid=1360802053,Category:Articles containing suspected AI-generated texts from June 2026,2026-07-23 00:22:20
Dil Bole Hadippa!,Dil_Bole_Hadippa!,1359404721,709,https://en.wikipedia.org/wiki/Dil_Bole_Hadippa!?oldid=1359404721,Category:Articles containing suspected AI-generated texts from September 2025,2026-07-23 00:22:20
Dilhan M. Kalyon,Dilhan_M._Kalyon,1365099132,587,https://en.wikipedia.org/wiki/Dilhan_M._Kalyon?oldid=1365099132,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:21
Dilip Cherian,Dilip_Cherian,1365042411,1329,https://en.wikipedia.org/wiki/Dilip_Cherian?oldid=1365042411,Category:Articles containing suspected AI-generated texts from April 2025,2026-07-23 00:22:21
Donald Nutbeam,Donald_Nutbeam,1339372825,1201,https://en.wikipedia.org/wiki/Donald_Nutbeam?oldid=1339372825,Category:Articles containing suspected AI-generated texts from February 2026,2026-07-23 00:22:22
Durga Puja Carnival,Durga_Puja_Carnival,1346466924,353,https://en.wikipedia.org/wiki/Durga_Puja_Carnival?oldid=1346466924,Category:Articles containing suspected AI-generated texts from March 2026,2026-07-23 00:22:22
Dwight Cuthbert Revire Gardiner,Dwight_Cuthbert_Revire_Gardiner,1365456405,467,https://en.wikipedia.org/wiki/Dwight_Cuthbert_Revire_Gardiner?oldid=1365456405,Category:Articles containing suspected AI-generated texts from July 2026,2026-07-23 00:22:23
